"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"China","CHN","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","52661","55360","59657","66290","73021","100432","125442","155602","180772","126440","151281","191220","235524","282282","346786","398946","469106","559638","669675","747900","796867","817857","847916","862078","861364","876470","891170","880859","858031","824113","795713","770629","734325","705723","685202","684290","703117","738526","798506","989139","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","78","300","450","460","705","940","940","1070","1231","1412","1500","1591","1840","2000","2150","2450","3000","3200","3500","3700","3950","4100","4180","4250","4300","4470","4540","4620","4700","4830","4900","5020","5130","5240","5330","5950","6800","7600","8250","8400","8981","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","31","31","31","31","33","60","80","100","130","150","170","200","230","250","280","300","350","449","421","572","675","700","600","600","600","500","500","500","500","508","508","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","640","670","750","800","850","900","950","980","1020","1062","1062","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","151","194","215","246","408","450","514","547","602","618","638","642","646","647","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","18241","19251","20380","20125","20535","20800","21147","21542","22157","22713","23469","24051","23800","23753","24187","24621","25594","26500","27500","28423","29500","31000","32000","33066","33450","33757","34232","34200","33000","32000","31000","29000","27000","25000","23000","21000","21000","","","","","","","","","","","","","","","","","","","","","","","","","",
"Comoros","COM","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","2","2","2","3","3","3","4","4","5","5","6","6","7","7","9","9","11","11","13","13","15","15","16","18","20","22","24","26","27","29","31","33","35","37","39","41","43","45","46","48","50","52","54","56","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","3800","4200","4454","4500","4600","4700","4800","4900","5000","5100","5200","5300","5432","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","8129","8348","8728","10061","11081","12255","9018","9313.52","9856.12","10039.72","8358.08","8597.08","8870.88","8888.04","9216.48","9692.32","9893.32","6607","6714","5911","6895","7014","7092","7194","7316","6417","6441","6491","6552","6010","6035","6069","6104","6140","6177","6248","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","11000","15000","18000","20000","22000","24000","25000","26800","40000","51600","53701","47816","53496","52687","54851","49033","64423","66349","70374","68300","65943","66509","66262","65900","68585","73739","74403","74919","76783","76702","76620","76539","76457","76376","76295","76213","76132","76050","75968","75887","75806","75725","75643","75562","75480","75399","72602","","","","","","","","","","","","","","","",
"Curacao","CUW","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","2880","3600","3990","4574","4718","5648","4919","5699","6193","6182","8056","8801","9176","9110","9045","8980","8915","9476","10036","10597","11158","11719","12279","12840","12099","12588","13100","13600","14100","14600","15000","15400","15900","16500","16600","16800","16900","16036","15172","14309","13445","12581","11717","","","","","","","","","","","","","","","","","","","",
"Czechia","CZE","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83970","85025","86081","85000","84000","83000","79304","96716","94778","94440","91648","89350","87039","85426","83813","","","","","","","","","","","","","","","",
"Germany","DEU","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","1027884","1099101","1164392","1224613","1288372","1347457","1395605","1437257","1485619","1504965","1542784","1555127","1561349","1566691","1577582","1579496","1590106","1596915","1608292","1613502","1614884","1621523","1635812","1638576","1641625","1644534","1634468","1616982","1594863","1567500","1500000","1321900","1300000","1261400","1215700","1190000","1116023","1072211","1030775","989487.5","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","6","6","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","6","6","6","","","","","","","","","","","","","","","","",
"Dominica","DMA","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","28","32","32","36","42","48","54","54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","128865","136712","145839","156344","161734","166291","171380","173735","173853","174639","173000","172844","178772","182660","185000","182618","191331","189913","189746","189426","181349","183135","176000","169711","166314","168574","164949","167773","165908","162555","160387","155031","154648","146573","151080","139619","141293","130000","129377","123221","121255","119290","117325","115360","113402","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","1770","1790","1810","1830","1850","1870","1890","1910","1930","1950","1970","1990","2010","2030","2050","2070","2090","2110","2130","2150","2170","2190","2210","2230","2250","2270","2290","2310","2320","2330","2300","2250","2200","2150","2100","2050","2000","1950","1900","1868","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","27000","27300","27500","28000","28300","30000","39500","39800","40000","40200","40500","40700","41000","41300","41500","41800","42000","42147","45847","47000","48000","49200","50279","61319","75310","82647","89271","91700","79809","91426","98157","91586","96540","90567","91204","92023","92426","92800","94259","95717","97176","97700","97800","97809","100128","102363","103558","104529","","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","89817","95842","105358","114032","122860","152468","181352","215263","244718","196932","225640","269661","316748","366321","434839","490539","569803","673562","794803","880929","939659","968032","1007281","1040130","982832","1008218","1028404","1032697","1023898","1006571","999943","995625","990758","1036121","1054197","1057361","1118136","1226561","1380334.5","1677611","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","495737","528573","565348","599384","627617","668130","722766","767277","818170","849128","918416","986984","1051203","1137560","1231952","1332328","1447379","1540926","1662573","1723324","1890045","1987610","2097236","2250757","2404597.57","2581251.14","2745027.71","2908162","3151457","3314871","3438455","3645186","3714869","3736817","3916226","4075062","4346911","4439284","4599890.5","4736993","","5002742","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","445900","463552","493607","524754","575735","649889","724402","835590","949800","900036","933556","991802","1090609","1346986","1252631","1418230","1616235","1862904","1983618","2451579","2458518","2606773","2693683","2794057","2942128","2951143","2963975","3054030","3115657","3202110","3032008","3076394","3123592","3199361","3293013","3307891","3386387","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3240766","3185007","3030542","2879454","2745078","2622323","2538917","2446595","2378575","2409527","2353505","2301656","2230135","2164905","2146584","2127825","1981407","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11813414","11879956","11854957","11708290","11541328","11379842","11272543","11156431","11096294.5","10214523","10287084","8448905","8358920","8352228","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","1558","1565","1620","1700","2000","2313","2450","2700","2900","3100","3400","3700","4200","4945","5100","5208","5440","5564","5880","6198","6844","7186","7400","7600","7800","8000","8200","8400","8600","8700","8800","8900","8900","14150","14200","14300","14500","14550","14600","14652","","","","","","","","","","","","","","","","","","","","","","",
"Egypt, Arab Rep.","EGY","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","12837","13200","13500","14000","14500","15000","15400","15572","16962","17300","17566","18500","20036","20889","21500","22000","22468","28300","34189","36000","38639","41900","45200","48500","51856","52000","52290","53000","55000","57000","59000","61000","78099","78846","89080","88000","86000","86000","86000","86255","92203","93340","94482","96265","98051","100317","102584","103188","","","","","","","","","","","","","","",
"Euro area","EMU","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","2524044","2752021","2995848","3238661","3450561","3679555","3884616","4095265","4301841","4432797","4619683","4759359","4886992","5008998","5143357","5270227","5415326","5547042","5696063","5891292","5990402","6092679","6186929","6249393","6312156","6389984","6457094","6537778","6563569","6555235","6507129","6559522","6603989","6582360","6572323","6571163","6530790","6522149","6512397","6498712.5","5584482","5651097","3866603","3855765","3845635","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","250","270","300","331","440","613","560","463","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","71077","92755","114410","130132","147884","169187","180717","204357","239544","259819","282371","306189","330459","355554","379070","400928","421393","455675","491595","523907","548080","571174","592010","611433","633210","657826","678680","701928","722661","740830","755743","766267","775297","789747","805593","823609","841932","862140","881977","899700","925688","946053","943653","966598","980808","1000222","1016043","1030440","1038726","","","","","","","","","","","","","",
"Estonia","EST","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50762","48426","48826","49387","50398","50607","50908","50726","50624","52441","36072","36697","37178","32281","33744","","","","","","","","","","","","","","","","",
"Ethiopia","ETH","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","250","250","300","500","800","1300","1800","2200","2500","2913","3160","3356","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"European Union","EUU","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","2996551","3262727","3559050","3846038","4100197","4359269","4583738","4820471","5064934","5240821","5459080","5631435","5807522","5982798","6162936","6330228","6532610","6699649","6904210","7145083","7302503","7458432","7589065","7697914","7882998","8025224","8136549","8255359","8311862","8308447","8288677","8346057","8460115","8591277","8598727","8570588","8536634","8517635","8497994","8500717.5","7586884","7713934","5927009","5908292","5972621","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","44042","47877","51743","57547","63333","66979","71651","76490","84118","91487","93943","103239","109796","115089","128540","137432","145108","119308","125286","133863","142888","152688","161741","165595","174941","182932","187960","193776","199810","208426","211970","264611","268043","274558","292986","293614","298100","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","82300","91400","113600","121400","126900","131450","137500","143500","151800","155000","160000","165000","170000","175000","178000","192000","197000","201000","204000","212000","218000","227000","234000","230000","226500","223000","219000","215000","211600","207952","205300","202700","200064","197400","194772","190000","185000","180200","175300","170441","171000","172400","173300","174000","175232","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","950","975","1000","1000","1200","1400","1600","1800","2000","2200","2400","2600","2800","3000","3200","3400","3600","3800","4000","4250","4500","4750","5000","5000","5500","5800","6000","6350","6500","6700","6952","6952","6843","6734","6625","6516","6407","6298","6189","6080","","5862","5644","5644","5735","5815","5893","5983","","","","","","","","","","","","","","",
"France","FRA","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","743400","804438","867676","952718","996422","1051173","1106713","1178657","1209013","1230200","1277800","1307100","1321000","1337200","1363054","1372400","1399464","1413000","1424500","1473600","1484600","1493600","1495000","1491400","1491200","1484900","1481100","1475400","1458000","1440000","1410000","1390000","1360000","1330000","1311700","1290000","1279000","1274000","1269000","1264000","1264000","1264000","1234650","1205300","1176425","","","","","","","","","","","","","","","","","",
"Faroe Islands","FRO","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
